Date / Time,City,State,Shape,Duration,Summary,Posted
12/31/13 00:43,San Pablo (Philippines),,Fireball,2 minutes,"ORANGE GLOWING OBJECT OVER SAN PABLO CITY, LAGUNA, PHILIPPINES.",41649
12/31/13 00:29,Brattleboro,VT,Fireball,15 minutes,"Orange or flew 100 miles an hour at least and then disappeared in to spaces at least at speed some 20,000 mph.",41669
12/30/13 21:30,Los Angeles/Silver Lake,CA,Fireball,5 minutes,3 fiery red lights flying in formation over east Los Angeles.,41649
12/30/13 19:15,San Diego,CA,Fireball,5 minutes,Three lights appearing separately looked like rockets or comets coming down.,41649
12/30/13 18:30,San Diego,CA,Fireball,5-10 minutes,Fireballs over San Diego.,41691
12/29/13 22:50,Jacksonville,FL,Fireball,60 seconds,"I could not have described what me, my husband and daughter witnessed than the description that was posted by someone in St. Cloud, Flo",41649
12/29/13 19:30,Murfreesboro,,Fireball,2 minutes,I was driving and I noticed 5 lights on the sky just below the cloud line.,41649
12/29/13 19:20,Yateley,,Fireball,10 seconds,Red ball.,41649
12/29/13 19:00,Bay Saint Louis,MS,Fireball,5-7 minutes,Orange pulsating orb over downtown.,41649
12/29/13 18:20,Sarasota,FL,Fireball,5 minutes,"I am wondering if anyone reported the sighting of any UFO, December 29,2013, at approximately 6:20 p.m. I was jogging in my neighborho",41649
12/29/13 18:15,Tequesta,FL,Fireball,2 minutes,Orange fireball traveling SW to NE at a constant speed and altitude. Stayed visible till it went out of sight in the NE.,41649
12/27/13 19:30,Marietta,GA,Fireball,10 minutes,"Red hazy sphere. Pure red, no blinking light. Went out of sight vertically.",41649
12/27/13 19:00,Tucson,AZ,Fireball,2 minutes,Looked like a bright orange fire flying across the sky of Tucson.,41649
12/26/13 23:30,Compton,CA,Fireball,0.0625,1 Bright Orange Fireball Looking Sphere In The Night Sky.,41649
12/26/13 19:13,Columbus,OH,Fireball,3 minutes,5 balls of fire in the sky flying in formation.,41649
12/26/13 18:00,Monument,CO,Fireball,12-13 minutes,"Fireball-like objects over Monument, Colorado.",41649
12/26/13 17:43,Manhattan,KS,Fireball,4 seconds,North bound fireball in Thursday evening twilight sky.,41649
12/25/13 22:00,Santa Cruz/Pescadero,CA,Fireball,still going,"3 fire balls over pescadero (santa cruz, CA).",41649
12/25/13 21:30,Grangeville,ID,Fireball,30 seconds,Observed 7-8 orange/red orbs making strange maneuvers in the sky before disappearing.,42293
12/25/13 20:30,Sacramento,CA,Fireball,Few minutes,Red/Orange Fireballs in the Sky.,41649
12/25/13 20:15,Woonsocket,RI,Fireball,3mins,3 orange fireballs.,41649
12/25/13 20:00,Waterdown (Canada),ON,Fireball,10 minutes,Fireballs flying in sequence spaced perfecly fr horizon to clouds.,41649
12/25/13 20:00,Orlando,FL,Fireball,5 minutes,Very bright fire ball visible moving from north to south at approximately 300 feet above the ground.,41649
12/25/13 18:00,Sanford,FL,Fireball,5 minutes,My wife and I saw a large fireball in sky on Christmas day just west of Sanford Florida over the Rock Springs run state preserve.,41649
12/25/13 17:10,Berlin,WI,Fireball,15 minutes,On christmas day at 5:10 pm I went out for a cigarette and happen to look to the south direction when I noticed an orange light moving,41649
12/25/13 00:45,Miami,FL,Fireball,30 seconds,Two red orange flying orbs seen at about 1am in Miami on 12/25/2013.,41649
12/24/13 23:35,Vero Beach,FL,Fireball,20 seconds,Fireball in the night sky,41649
12/24/13 21:30,Monterrey (Mexico),,Fireball,10 minutes,Red and Yellow Flashing Object Moving Very slowly and Some other 4 with the same Shape Flying like in Formation,41649
12/24/13 18:25,San Tan Valley,AZ,Fireball,30 minutes,Red orbs over San Tan Valley.,41649
12/24/13 17:45,Providence & Cranston,RI,Fireball,5 minutes,Fireball-like lights on Christmas Eve.,41663
12/24/13 10:50,Oceanside,CA,Fireball,10 minutes,Four fireballs changing directions.,41649
12/23/13 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,41649
12/23/13 20:20,Saint Cloud,FL,Fireball,60 seconds,"The object appeared to be a low flying rocket-like aircraft in level flight, flying west to east across Osceola County, FL.",41631
12/23/13 20:00,Apache Junction,AZ,Fireball,2 minutes,4 people witness a total of 4 orange glowing balls fly and disappear over a two night period.,41663
12/23/13 16:00,Anchorage,AK,Fireball,~10 minutes,"Very large fireball with a fire trail falling over southside of Anch. inlet, 2 jets observed flying towards object.",41915
12/22/13 21:05,North Palm Beach,FL,Fireball,2 minutes,2 large fireballs traveling SE to NW.,41631
12/22/13 21:00,Jacksonville,FL,Fireball,10 minutes,5 possible meteors traveling in single file.,41631
12/21/13 18:04,Franklinville,NJ,Fireball,3-4,"Orange fireball splits in two and then disappears over Franklinville, New Jersey.",41649
12/20/13 22:00,Feeding Hills,MA,Fireball,3 seconds,"It was high in the sky shooting over Provin mountain, it was bright red with a red trail.",41697
12/20/13 17:00,Alabaster,AL,Fireball,10 seconds,"3 balls of fire like lights rotating counter clockwise 20-30 feet in diameter, elevation 200-300 feet in alabaster,al.",41649
12/18/13 22:15,Kihei,HI,Fireball,5-7 minutes,"5 ORANGE GLOWING ORBS LOOKING OF FIRE, IN PERFECT FORMATION, LASTING FOR SEVERAL MINUTES.",41649
12/18/13 19:15,Waynesboro,GA,Fireball,100 minutes,"Two different types: one that flashes ...it almost looks like a star that's really close that appears and disappears, moves up and down",41631
12/18/13 19:00,Butler,PA,Fireball,10 minutes,Fireball hovering in the sky. ((NUFORC Note: We suspect a sighting of Venus. PD)),41631
12/18/13 16:20,Alexandria,VA,Fireball,10 minutes,Drones?,41631
12/17/13 21:30,Perry,GA,Fireball,1 second,Bright green light flashed and then fell to the ground like a flare. ((NUFORC Note: Possible Geminid meteor?? PD)),41631
12/17/13 21:22,Woodstock,GA,Fireball,10 seconds,Looked like a meteor hitting the atmosphere but brighter and large light show like fireworks.,41631
12/17/13 20:15,Hatillo (Puerto Rico),,Fireball,11\2 minutes,"Red flare light source not a constant brightness seamed dancing,very bright.",41631
12/15/13 18:15,Venice,FL,Fireball,5 minutes,15 objects flying in groups of 3-1. Appeared round with no sound. Flying from north to south. Phone photo confirmed color and shape. Di,41631
12/14/13 20:02,Phoenix,AZ,Fireball,5 seconds,"Fireball seen 19th ave/Dunlap, Phoenix.",41649
12/14/13 19:40,Santa Maria/Orcutt,CA,Fireball,1,A fireball in the sky floating.,41631
12/14/13 05:00,Ontario,CA,Fireball,3 seconds,Green light falling from sky. ((NUFORC Note: Possible meteor from Geminid Meteor shower?? PD)),41631
12/13/13 21:00,Columbus,OH,Fireball,2-3 minutes,5 slow moving fireballs.,41631
12/13/13 20:00,Longmont,CO,Fireball,1 minute,Crazy fireballs zigzagging in the sky like they were being controlled,41631
12/13/13 19:59,Longmont,CO,Fireball,5 minutes,Viewing from Longmont CO near 21st and Hover. In the east/south sky I noticed objects that appeared as fireballs seeming to interact wi,41691
12/13/13 19:31,Longmont,CO,Fireball,1 minute,3 Fireballs with a spark-like tail moving in a serpentine pattern with light fading on and off.,41631
12/13/13 19:00,St. Petersburg,FL,Fireball,1 minute,"Saint Petersburg, FL.",41631
12/13/13 19:00,Concord,VT,Fireball,5 minutes,"Outside facing southern sky at 1900pm several bright lit orange fire spots, no noise, in a row blinking off and on.",41631
12/13/13 18:00,Potsdam (Tupper Lake),NY,Fireball,,"Early December, 2013, I saw two UFOs in the low south-eastern sky while in Potsdam, NY. I’m a big airplane enthusiast and very interes",41631
12/13/13 00:15,Acworth,GA,Fireball,3 minutes,Three minutes fireball.,41631
12/12/13 21:00,Montego Bay (Jamaica),,Fireball,2 minutes,Orange fireball traveling across the horizon.,41649
12/12/13 20:30,Dearing,GA,Fireball,3-4 minutes,"We were driving up the road on our property and, looking south, we noticed 2 orange glowing balls next to each other. We also noticed 2",41631
12/11/13 08:25,Anchorage,AK,Fireball,2 seconds,Anchorage meteor ufo Spenard area.,41620
12/10/13 19:55,Yorktown,VA,Fireball,4 minutes,"Beautiful 2 orange fireballs traveling slow, west to east, second ball dissipated.",41620
12/9/13 20:30,London (UK/England),,Fireball,3 minutes,"Yellow/orange roundish fireball, faded off into the distance.",41620
12/8/13 22:46,Port Orchard,WA,Fireball,3 minutes,A bright orange looking star that moved In impossible ways and speeds.,41620
12/8/13 18:30,Satellite Beach,FL,Fireball,15 minutes,Was out back grilling and my wife and I witnessed approx 15 silent round amber/fireall looking objects scattered across the sky coming,41620
12/7/13 19:15,Mertztown,PA,Fireball,10 minutes,Orange slow moving lights in sky coming in and out of organized formation.,41620
12/7/13 18:30,Miami,FL,Fireball,on minute,Orange fireball flared out to a white dot east to west southern sky.,41620
12/7/13 11:30,New ort richey,FL,Fireball,2 minutes,One very bright light moving over land out to the gulf look like a fire ball going about the speed of a hilicoptor about 500' in air sl,41620
12/7/13 07:00,Boca Raton,FL,Fireball,2 minutes,Orange fireball or rocket.,41620
12/6/13 16:15,Laveen,AZ,Fireball,0.6791666667,Fire Orb By North Star In Phoenix,41620
12/4/13 19:00,Tucson,AZ,Fireball,3 minutes,3,41631
12/3/13 19:15,Captiva,FL,Fireball,20 seconds,"13TH SIGHTING OF AN ORANGE “FIREBALL. THIS ONE WAS SMALL AND CHANGED COLORS, THEN SPLIT IN TWO.",41613
12/3/13 18:45,Lehigh Acres,FL,Fireball,1 minute,"Strange lights cause separate vapor trails. ((NUFORC Note: Possible contrails, we wonder. PD))",41613
12/3/13 18:42,Sebastian,FL,Fireball,3 minutes,fireball in sky,41613
12/3/13 17:50,Trinity,FL,Fireball,1 minute,"Fireball in the sky over Wesley Chapel, Florida.",41613
12/3/13 17:40,Lake Worth,FL,Fireball,3 minutes,Main craft strange plume. Two fireballs split off.,41620
12/3/13 17:40,Lake Worth,FL,Fireball,~1 minute,"Main craft, strange plumes, 2 'fireball-like' objects broke away from main object",41620
12/3/13 17:35,Glen St. Mary,FL,Fireball,5 minutes,Fireball in sky with shock wave that was emitted as white orbs appeared.,41613
12/3/13 17:30,Lehigh,FL,Fireball,15 minutes,Comet like Fire Ball Turned into craft then there were two then they disappeared.,41613
12/3/13 17:30,Lehigh Acres,FL,Fireball,15 minutes,Comet Like fire ball turned into craft disappeared into cloud the emerged with another craft behind it.,41613
12/2/13 22:10,Austin,TX,Fireball,~1 minute,I was driving on the highway when I noticed a rather large green 'star' in the sky. They started as small green balls and traveling qui,41613
12/2/13 20:00,Louisville,KY,Fireball,3 minutes,4 Glowing Orbs/Fireballs in NE Louisville.,41613
12/2/13 20:00,Los Angeles,CA,Fireball,5 minutes,"Morphing fireball craft, Pico/Robertson area LA.",41649
12/2/13 19:20,Kent,WA,Fireball,2-3 minutes,I was in my car when I saw a ball of fire I thought it was a plane at first Then I saw a 2nd and 3rd on I could see a plane too low to,41978
12/2/13 05:51,Orlando,FL,Fireball,6 minutes,3 dots floating down and dissapearing.,41613
12/1/13 18:00,Lake Ariel,PA,Fireball,1 minute,Four fireballs in the night sky.,41610
11/30/13 22:30,Kearneysville,WV,Fireball,5 minutes,5 or more orange lights.,41610
11/30/13 21:30,Ashland,MA,Fireball,5 minutes,"15-20 Bright Orange objects Seen just outside of Boston, MA (Ashland-Hopkinton Area).",41610
11/30/13 21:10,Sag Harbor,NY,Fireball,3 minutes,Fireballs visit Long Island again.,41620
11/30/13 20:02,Milwaukie,OR,Fireball,90 seconds,Fireball like object flying in a inconsistent line completely disappears from sight.,41610
11/30/13 19:00,Bridgewater,NJ,Fireball,3 minutes,I clearly witnessed a craft on fire that cruised over my house in a steady direction slow down then get smaller and disappear.,41610
11/30/13 18:30,Oakley,CA,Fireball,10 minutes,"Four red-orange balls of light seen over Oakley, CA.",41610
11/30/13 18:30,Oakley,CA,Fireball,10 minutes,7 fireball like objects.,41610
11/30/13 16:00,Dunedin,FL,Fireball,3 minutes,"Fiery object in sky over Dunedin, Florida on 113013 at dusk.",41610
11/29/13 20:15,Mercer,ME,Fireball,2 minutes,Two glowing balls hovering over Mercer Maine. Shot off in unimaginable speeds after supersonic craft gets between them.,41610
11/29/13 18:45,Pawleys Island,SC,Fireball,5 minutes,I was walking north on the beach from the Pearce Moser access. First object rose from the area of South Litchfield Creek traveling sout,41610
11/29/13 08:07,North Providence,RI,Fireball,4 seconds,"Bright, white, low object split second gone.",41610
11/28/13 22:40,Orlando,FL,Fireball,5 minutes,3 Glowing Orange orbs.,41610
11/28/13 20:28,Sobieski,WI,Fireball,2 minutes,2 Orange fireballs appeared in northeast Wisconsin for approximately 2 minutes.,41610
11/28/13 20:00,McHenry,IL,Fireball,5 minutes,4 fireballs moving together in a single line.,41610
11/28/13 19:50,Moncton (Canada),NB,Fireball,10-15 seconds,Blue fireball travels across the horizon.,41610
11/28/13 18:52,Gardiner,NY,Fireball,3 minutes,Four Person Fireball UFO sighting in Upstate NY 11/28/2013 6:55 PM.,41610
11/26/13 19:05,Apache Junction,AZ,Fireball,1.5 minutes,"Silent, bobbing flaming orb.",41610
11/25/13 21:45,South Orange,NJ,Fireball,2 minutes,Brightly glowing orange Fireball hovering above neighborhood. Hovered 15 seconds then ascended getting smaller until it disappeared.,41610
11/25/13 19:00,West Mifflin,PA,Fireball,2 minutes,"Standing on the porch talking on the landline phone, a bright orange ball with a tail-like flame appeared over a neighbor’s home moving",41610
11/25/13 19:00,Fayetteville,NC,Fireball,8 seconds,one fireball splits into fours falling towards earth disappearing before main fireball disappeared.,41610
11/24/13 18:35,Hanover Park,IL,Fireball,5 minutes,Lights was orange fire and moves faster.,41610
11/23/13 20:55,Chandler,AZ,Fireball,90 seconds,"Slow-moving orange light crossing overhead, then slowly burning out.",41610
11/23/13 19:00,Lake Wylie,SC,Fireball,4-5 minutes,"Possible UFO Sighting in Lake Wylie, SC.",41610
11/22/13 21:30,Humboldt (Canada),SK,Fireball,10 seconds,Orange/yellow fireball seen in northern sky near Humboldt Sk that was sighted by father and son.,41610
11/21/13 22:00,Coral Springs,FL,Fireball,5 minutes,Fireballs floating across sky then dissappearing.,41610
11/21/13 21:00,Monroe,WA,Fireball,3 minutes,"4 orange flying object Monroe, Wa.",41610
11/21/13 19:57,Arroyo Seco,NM,Fireball,7 minutes,Traveling fire ball in the sky.,41610
11/21/13 06:25,Lockport,NY,Fireball,10 minutes,Single fireball hovering in Lockport at the Niagara County/Erie County border.,41610
11/20/13 21:00,Freedom,NH,Fireball,5 minutes,Four large yellow/orange round lights in the night sky.,41610
11/20/13 18:15,Churchill,PA,Fireball,30 minutes,Several orange fireballs all perfectly spaced and moving at the same speed.,41610
11/20/13 18:00,Bridgewater,MA,Fireball,4 minutes,Orange balls in sky.,41610
11/20/13 17:00,Granville,VT,Fireball,2 minutes,Orange fire balls appeared over...,41610
11/20/13 16:55,Berlin,VT,Fireball,10 minutes,"Multiple orange lights seen over Berlin, Vermont.",41610
11/20/13 16:50,Granville,VT,Fireball,1 minute,Unknown object flying over....,41610
11/20/13 04:40,Carlsbad,NM,Fireball,30 seconds,Bright fireball object.,41598
11/19/13 20:20,Kensington,MD,Fireball,30 seconds,"An orange fireball moved in the sky near Washington, D.C., turned direction and ""burned out.""",41598
11/19/13 20:00,Kansas City,MO,Fireball,30 minutes,"Red flashing orb/fireball seen near Front St. in Kansas City, Missouri.",41610
11/19/13 19:00,San Diego,CA,Fireball,6 minutes,"Object moving fast, slowed, hovered, then faded away.",41610
11/19/13 17:10,Captiva,FL,Fireball,10 minutes,SIGHTING #30 – 11TH SIGHTING OF ORANGE-RED “FIREBALLS” IN A CLOSE BY STRUCTURED FORMATION,41610
11/18/13 17:59,Waldorf,MD,Fireball,4 minutes,"Orange orb seen by a woman in the horizon in Waldorf, MD",41598
11/17/13 22:02,Vero Beach,FL,Fireball,4 minutes,Fireball in the night sky.,41598
11/17/13 18:45,Newark,NJ,Fireball,7 seconds,large Reddish White fireball coming through the foggy sky near Newark Airport.,41598
11/17/13 18:30,Westminster,CO,Fireball,30 seconds,Boomerang shaped fireballs descended from the sky in Colorado,41598
11/17/13 18:00,Upper Marlboro,MD,Fireball,<5 minutes,Orange sets of lights seen over Maryland,41598
11/16/13 23:00,Taunton,MA,Fireball,2 minutes,Fireball over Taunton.,41598
11/16/13 22:30,Derby,KS,Fireball,5 seconds,Bright green meteor.,41598
11/16/13 21:45,Pratt,KS,Fireball,3 seconds,"Quick flash of light. lit up the sky, i turned around and seen the fireball falling. about five minutes later i heard what sounded",41598
11/16/13 20:00,Lake Havasu City,AZ,Fireball,15 minutes,"Fireballs appeared over Lake Havasu City and gradually departed gracefully, lovely to watch.",41598
11/16/13 18:30,Jamestown,RI,Fireball,8 minutes,"When outside with our dog around 6:30 pm on Sat., Nov. 16th, I spotted a bright white orange light pulsating somewhat coming above the",41598
11/16/13 18:20,Fleming Island,FL,Fireball,5-10 minutes,Several bright orange lights moving across sky.,41598
11/16/13 18:00,Meriden,CT,Fireball,30 minutes,I was driving up east Main Street to dunkin donuts when to my left I saw like 8 balls of orange/red in the sky. I went to dd and on my,41598
11/16/13 01:00,Los Angeles,CA,Fireball,5 minutes,Fire ball over major city.,41598
11/15/13 21:45,Gainesville,GA,Fireball,7 minutes,The first two we saw were together. One kept moving while the other flickered out after staying in one spot. Several more followed Hove,41598
11/15/13 19:00,Alexandria,LA,Fireball,5 minutes,"Red orange in color, fireballs appearing to be drifting from east to west across the Southern sky. About 10-15 of them. Visible for a",41598
11/15/13 17:15,Burnsville,MN,Fireball,5 seconds,Green ball of light cruised across sky.,41598
11/15/13 06:52,Enumclaw,WA,Fireball,8 seconds,Orange colored orb seen the morning of November 15 2013 at 6:52am in Enumclaw Washington.,41610
11/15/13 05:45,Portage,WI,Fireball,20 seconds,5 Orbs seen over Columbia county,41598
11/15/13 04:00,Martin,MI,Fireball,1 minutes,"It was moving too slow to be an aircraft, but faster than a baloon or something simular.",41655
11/15/13 02:50,Grand Rapids,MI,Fireball,5 seconds,Bright Green Fireball.,41598
11/14/13 19:00,Farmington,ME,Fireball,10 minutes,7 bright orange fireballs travelling easterly over Farmington,41598
11/13/13 22:15,Black River Falls,WI,Fireball,1 minute,"Bright orange lights over Robinson road, hovered then vanished.",41598
11/13/13 21:25,Mauston,WI,Fireball,10 seconds,Fireballs.,41598
11/13/13 19:45,Okeechobee,FL,Fireball,1 hour,"Orange fireballs in a pattern of three, winking out and returning in another location, repeatedly.",41598
11/13/13 19:15,McGraw,NY,Fireball,5-10 minutes,3 orange fire balls in Upstate New York.,41598
11/13/13 18:45,Black River Falls,WI,Fireball,30 seconds,Fireballs in sky that pertuded objects when lights went out.,41598
11/12/13 20:39,Buhl,MN,Fireball,,Fireball spirling down in threes.,41598
11/11/13 22:00,Baton Rouge,LA,Fireball,10,5 fireball objects in formation. Disappeared then came back going a different direction. Some would dim then fade out. Lights were soli,41598
11/11/13 18:23,Coeur d'Alene,ID,Fireball,15 minutes,"Out for a hike in Coeur D'Alene, Idaho. See a glowing golden orange light in the sky.",41598
11/10/13 23:00,Peru,IN,Fireball,5 seconds,"I WAS TRAVELING EAST ON HIGHWAY 24, COMING BACK FROM PERU INDIANA, WHEN I SAW A FIREBALL OVERHEAD TO THE EAST. IT LASTED ABOUT 10 SECO",41589
11/10/13 21:00,Irving,TX,Fireball,40 seconds,Spotted three orbs creating a triangle rotating in scnychronized manner.,41598
11/10/13 20:25,North East Florida (Jacksonville),FL,Fireball,~5 minutes,Red Orb over North East Florida seen from Airplane,41598
11/10/13 19:30,Punta Gorda,FL,Fireball,15-20 seconds,"Orange fireball over Punta Gorda, Fl. 11/10/2013 approximately 19;30 hours.",41589
11/10/13 19:30,Palmer,AK,Fireball,20 minutes,It's snowing hard our first real snow of the season... I went in the kitchen and happened to glance out the window and I saw these fire,41589
11/10/13 18:25,Graham,WA,Fireball,60 seconds,"I witnessed a large, orange, silent fireball just under the cloud cover that moved slowly and disappeared up into the clouds.",41598
11/10/13 16:30,Olivehurst,CA,Fireball,5 minutes,5 pix of a red ball in the sky.,41610
11/9/13 21:20,Leavenworth,KS,Fireball,5 minutes,Slow moving fireballs going across sky in Leavenworth.,41589
11/9/13 20:40,Overland Park,KS,Fireball,~5 minutes,One Fiery Red Orb ~Hovering~ Over Overland Park... That's twice now within 5 months!,41598
11/9/13 19:15,McCordsville,IN,Fireball,20 minutes,Orange lights over geist.,41589
11/9/13 18:00,Farmingdale,NY,Fireball,10 minutes,Six orange fireballs in evening sky.,41589
11/8/13 10:56,Gibsonton,FL,Fireball,4 seconds,I was standing outside my home finishing a cigarette(I know I need to quit) and admiring the night sky. I was looking up towards Orion',41589
11/7/13 22:00,Poipu,HI,Fireball,2 minutes,Husband and wife on vacation. Went outside to look at the moon and saw what I thought was an airplane. Realized it was traveling too sl,41589
11/6/13 19:50,San Diego County,CA,Fireball,20 seconds,San Diego County lit up.,41589
11/6/13 17:10,Vienna,VA,Fireball,15 minutes,Fireball seen in Northern Virginia.,41589
11/5/13 21:30,Panama City Beach,FL,Fireball,10 minutes,"Four glowing orange orbs were seen over the Gulf of Mexico in Panama City Beach, FL.",41589
11/5/13 20:20,Medina,OH,Fireball,3 minutes,"2 fireballs, same pattern, silent.",41589
11/5/13 19:00,Grants Pass,OR,Fireball,20 seconds,Red orange fire ball northbound at a curve towards earth.,41589
11/5/13 18:45,Show Low,AZ,Fireball,1 minute,Bright ball in the southern sky then disappeared there was no clouds present.,41589
11/5/13 18:30,Grayson/Lawrenceville area,GA,Fireball,5-10 minutes,4 white/orange orbs seen over Grayson/Lawrenceville GA neighborhoods 11/05/2013.,41589
11/4/13 23:00,North St. Paul,MN,Fireball,1 hour,UFO thought to be an airplane flashed colors and moved in swirl motions until it dispersed into the night sky.,41589
11/3/13 18:50,Parma,OH,Fireball,Couple mind,Orange ball dripping smaller balls and disappearing/reappearing in 2 places at once.,41589
11/3/13 18:40,Tampa,FL,Fireball,2 minutes,Orange and red pulsating ball traverses a small portion of the sky and vanishes,41589
11/3/13 18:25,Pampa,TX,Fireball,30 seconds,Whitish/green fireball was observed flying acrossing the sky,41589
11/2/13 00:00,Fordyce,AR,Fireball,10 minutes,One by one these nine to twelve brightly lit orange orbs flew overhead excelerating and decreasing in speed as they appeared to be foll,41589
11/2/13 22:30,Wakefield,RI,Fireball,5 minutes,Silent flaming ball moving around 50 knots at 1500 feet altitude. Dead calm wind. Could see flames dancing.,41589
11/2/13 22:00,Conway,AR,Fireball,~5 minutes,"UFO sighting in Conway, AR.",41589
11/1/13 21:00,Ravena,NY,Fireball,~1 minutes,3 fireballs no sound flying low in formation.,41589
11/1/13 20:15,Vero Beach,FL,Fireball,5 minutes,Two very bright orange lights hovering and then flying over Florida coast.,41589
11/1/13 19:30,Cincinnati,OH,Fireball,10 minutes,3 fireballs in sky.,41589
11/1/13 19:15,Cincinnati,OH,Fireball,15 minutes,Driving down Bridgetown Rd. I spotted something strange. Three lights in a triangular formation. Lights slowly spread apart and moved o,41589
11/1/13 19:00,Cincinnati,OH,Fireball,3 minutes,Probably not a UFO. ((NUFORC Note: Reported to be a team of 3 sky divers. PD)),41589
11/1/13 18:50,Trego (near),MT,Fireball,5 seconds,Giant orange fireball shooting across sky.,41589
11/1/13 04:30,Napili,HI,Fireball,2 minutes,Witnessed a bright orange-red fireball type of object moving from Maui toward Molokai at 4:30 AM.,41589
11/1/13 00:28,Davenport,FL,Fireball,10 minutes,"Several orange fireballs over Davenport, Florida.",41589
10/31/13 10:45,Elmore city,OK,Fireball,3 minutes,Fireball parked 40 ft above highway.,41589
10/30/13 10:00,Lawrenceville,GA,Fireball,3,My girl and I noticed four objects floating in the sky. They wer red and flickering . They flew in wierd hovering like ways . My friend,41589
10/30/13 06:50,Kuna,ID,Fireball,4 seconds,"Greenish-white fireball tracking east-west, spotted early a.m. 10-30-13, at high rate of speed; SW Ada County, ID.",41589
10/30/13 03:20,San Diego,CA,Fireball,3 minutes,Two round orange lights hovering over south San Diego.,41589
10/27/13 22:15,Pittsburgh,PA,Fireball,1-2 minutes,"Saw ""Fireballs"" in the sky last night. Same as many other UFO video and sightings. Have pictures.",41589
10/27/13 21:50,West Palm Beach,FL,Fireball,0.2916666667,Six orange-red glowing balls in night sky over West Palm Beach,41589
10/26/13 23:00,Mustang,OK,Fireball,8-10 minutes,"Fireballs over Mustang, OK.",41589
10/26/13 21:45,Tallahassee,FL,Fireball,10 minutes,20-30 orange lights floating silently over I-10 in Tallahassee Florida heading west,41589
10/26/13 21:36,Cape Coral,FL,Fireball,2 minutes,Glowing orange orb over Southwest Florida,41589
10/26/13 19:00,Chapin,SC,Fireball,2-3 minutes,Orange ball in sky.,41589
10/26/13 18:00,Glendale,AZ,Fireball,10 minute,Fireball-like objects above ASU West.,41631
10/25/13 21:40,Centerville,OH,Fireball,10 minutes,"75+ red dots in the sky over Dayton, Ohio",41589
10/25/13 20:15,Katy,TX,Fireball,3 minutes,"Fireball seen moving across the sky of Katie, Texas. .",41589
10/24/13 21:38,New Castle,PA,Fireball,5 minutes,((NUFORC Note: Witness provides no information about sighting. PD)),41589
10/24/13 18:30,Arnold,MD,Fireball,3-5 seconds,Extremely bright ball/circle of yellow-white light surrounded by a red outline streaked across evening sky,41589
10/24/13 04:45,Pasadena,CA,Fireball,1 hour,"Mass UFO sighting: Pasadena, CA: 4:35pm on December 24, 2013.",41649
10/23/13 19:00,Wickenburg,AZ,Fireball,45,"10-15 Orange “Fireballs,” appearing and disappearing and moving about in the evening sky for the last 3 nights in a row…",41589
10/23/13 18:30,Stratham,NH,Fireball,3-4 minutes,"Bright yellow/orange fireball hovered with no noise at low altitude, shining right at my house.",41589
10/21/13 21:00,Barnegat,NJ,Fireball,1 minute,Object appearing to be a burning object flew low at constant speed and altitude.,41570
10/21/13 19:50,Watertown,MA,Fireball,10 minutes,"Fast-moving, illuminated object similar to fireball silently crosses evening sky and in an instant plunges about 100 feet",41570
