Department,Department Name,Property Id,Property Name,Address 1,City,State/Province,Postal Code,Property Area(ft²),Primary Property Type ,Year Built,Electricity Use (kWh),Natural Gas Use (therms),Propane Use (kBtu),Water Use (All Water Sources) (kgal),Percent of Electricity that is Green Power,Total Green Power - Onsite and Offsite (kWh),Site Energy Use (kBtu),ENERGY STAR Score,LEED Certified,Location
CAL FIRE,California Department of Forestry and Fire Protection,3939965,CNR-LMU Bieber FS/HB - 2014 E P Complete,"510 Bridge Street, P.O. Box 36",Bieber,California,96101,,Fire Station,2014,73096.8,,1270611.9,840,0%,0,1520018.1,,,"510 Bridge Street, P.O. Box 36
Bieber, California 96101
"
CAL FIRE,California Department of Forestry and Fire Protection,3939966,CNR-LMU Susanville Inmate Train Cntr 2014 RBO-E/PP Complete State-Other (CDCR),P.O. Box M,Susanville,California,96130,,Fire Station,1899,,,,8.6,,,,,,"P.O. Box M
Susanville, California 96130
"
CAL FIRE,California Department of Forestry and Fire Protection,3939967,CNR-LMU Lassen-Modoc UH/FS - 2014 E N Complete ZZ,697-345 Highway 36,Susanville,California,96130,,Fire Station,2004,,,,227.7,,,,,,"697-345 Highway 36
Susanville, California 96130
"
CAL FIRE,California Department of Forestry and Fire Protection,3939968,CNR-LMU Devils Garden CC 2014 RBO-E/PP Complete Federal,335 Crowder Flat Rd.,Alturas,California,96101,,Fire Station,1993,,,,7939.2,,,,,,"335 Crowder Flat Rd.
Alturas, California 96101
"
CAL FIRE,California Department of Forestry and Fire Protection,3939969,CNR-LMU Alturas FS - 2014 E P Complete ZZ,8th & East D Streets,Alturas,California,96101,,Fire Station,1960,,,413162.7,80.1,,,,,,"8th &amp; East D Streets
Alturas, California 96101
"
CAL FIRE,California Department of Forestry and Fire Protection,3939970,CNR-LMU Deer Springs FS  Local Govt - 2014 E Complete ZZ,"8th && East D Streets, Cal Pines Blvd",Alturas,California,96101,204,Fire Station,1996,,,,32,,,,,,"8th &amp;&amp; East D Streets, Cal Pines Blvd
Alturas, California 96101
"
CAL FIRE,California Department of Forestry and Fire Protection,3939971,CNR-LMU Happy Camp FS 2014 E P Complete,510 Bridge Street,Bieber,California,96009,,Fire Station,1998,73096.8,,138920,32,0%,0,388326.2,,,"510 Bridge Street
Bieber, California 96009
"
CAL FIRE,California Department of Forestry and Fire Protection,3939973,CNR-LNU Wilbur Springs FS - Generator 2014 P,1010 Hwy 16,Willams,California,95987,,Fire Station,1955,,,51520,32,,,51520,,,"1010 Hwy 16
Willams, California 95987
"
CAL FIRE,California Department of Forestry and Fire Protection,3939974,CNR-LNU Konocti CC - 2014 E Complete CDF,13044 State Hwy 29,Lower Lake,California,95457,,Fire Station,1963,535165.4,,,1652.2,0%,0,1825984.7,,,"13044 State Hwy 29
Lower Lake, California 95457
"
CAL FIRE,California Department of Forestry and Fire Protection,3939975,CNR-LNU Clear Lake Oaks FS - 2014 E P Complete,140 Springs Rd,Clearlake Oaks,California,95423,,Fire Station,1948,30533.7,,119213.6,54.3,0%,0,223394.6,,,"140 Springs Rd
Clearlake Oaks, California 95423
"
CAL FIRE,California Department of Forestry and Fire Protection,3939979,CNR-LNU Gordon Valley FS - 2014 E P Complete,"1345 Wooden Valley Crossroad, Route 1 Box 93-A",Napa,California,94585,,Fire Station,1970,15203.5,,32347.2,257.6,0%,0,84221.4,,,"1345 Wooden Valley Crossroad, Route 1 Box 93-A
Napa, California 94585
"
CAL FIRE,California Department of Forestry and Fire Protection,3939982,CNR-LNU Saint Helena FS -2014 E N Complete,3535 St. Helena Hwy N.,Saint Helena,California,94574,,Fire Station,1959,,8528.045177,,151.6,,,,,,"3535 St. Helena Hwy N.
Saint Helena, California 94574
"
CAL FIRE,California Department of Forestry and Fire Protection,3939994,CNR-LNU The Sea Ranch FS 2014 E P Complete ZZ,960 Annapolis Rd.; PO Box 65.,The Sea Ranch,California,95497,,Fire Station,1976,,,50002,94.4,,,,,,"960 Annapolis Rd.; PO Box 65.
The Sea Ranch, California 95497
"
CAL FIRE,California Department of Forestry and Fire Protection,3939995,CNR-LNU Brooks FS - 2014 E P Complete ZZ,"14023 Hwy 16, P.O. Box 86",Brooks,California,95606,,Fire Station,1950,24962.9,,60922.4,25.8,0%,0,146095.9,,,"14023 Hwy 16, P.O. Box 86
Brooks, California 95606
"
CAL FIRE,California Department of Forestry and Fire Protection,3940005,CNR-MEU Hopland FS - 2014 E P Complete ZZ,11000 South Hwy 101,Hopland,California,95449,,Fire Station,2000,,,86296,80.1,,,,,,"11000 South Hwy 101
Hopland, California 95449
"
CAL FIRE,California Department of Forestry and Fire Protection,3940007,CNR-MEU Leggett Valley FS - 2014 E P Complete,P.O. Box 156,Leggett,California,95585,,Fire Station,1965,17393.3,,147200,108.7,0%,0,206545.9,,,"P.O. Box 156
Leggett, California 95585
"
CAL FIRE,California Department of Forestry and Fire Protection,3940008,CNR-MEU Point Arena FS - 2014 E P Complete,P.O. Box 134,Point Arena,California,95468,,Fire Station,2012,22521,,119416,80.1,0%,0,196257.6,,,"P.O. Box 134
Point Arena, California 95468
"
CAL FIRE,California Department of Forestry and Fire Protection,3940017,CNR-NEU Truckee (Martis Valley) FS 2014 MEE P local government?,10277 Truckee- Tahoe Airport Rd.,Truckee,California,96161,,Fire Station,2000,,,0,51.5,,,,,,"10277 Truckee- Tahoe Airport Rd.
Truckee, California 96161
"
CAL FIRE,California Department of Forestry and Fire Protection,3940019,CNR-NEU Washington Ridge CC 2014 E Partial E/PP Complete Federal,11425 Conservation Camp Rd.,Nevada City,California,95959,,Fire Station,1961,,,,1466.4,,,,,,"11425 Conservation Camp Rd.
Nevada City, California 95959
"
CAL FIRE,California Department of Forestry and Fire Protection,3940026,CNR-NEU Smartsville FS 2014 E P Complete,8839 Hwy 20,Smartville,California,95977,,Fire Station,1997,40404.9,,68448,51.5,0%,0,206309.6,,,"8839 Hwy 20
Smartville, California 95977
"
CAL FIRE,California Department of Forestry and Fire Protection,3940029,CNR-SCU Castle Rock FS 2014 E N P Complete,16502 Shulte Road,Tracy,California,95376,,Fire Station,2001,23698.2,,0,560.6,0%,0,,,,"16502 Shulte Road
Tracy, California 95376
"
CAL FIRE,California Department of Forestry and Fire Protection,3940031,CNR-SCU Coyote FS 2014 E P Complete,Canada && Hot Springs Road,Gilroy,California,95020,,Fire Station,2000,18590.2,,47196,32,0%,0,110625.7,,,"Canada &amp;&amp; Hot Springs Road
Gilroy, California 95020
"
CAL FIRE,California Department of Forestry and Fire Protection,3940034,CNR-SCU Smith Creek FS - 2014 E P Complete,22805 Mt Hamilton Rd.,Cupertino,California,95140,,Fire Station,1971,17941.3,,57040,32,0%,0,118255.6,,,"22805 Mt Hamilton Rd.
Cupertino, California 95140
"
CAL FIRE,California Department of Forestry and Fire Protection,3940042,CNR-SHU Big Bend FS 2014 E P Complete Federal,25017 Hagen Flat Rd.,Big Bend,California,96011,,Fire Station,1995,13229.3,,0,32,0%,0,45138.5,,,"25017 Hagen Flat Rd.
Big Bend, California 96011
"
CAL FIRE,California Department of Forestry and Fire Protection,3940045,CNR-SHU Hillcrest FS 2014 E P Complete,31385 Hwy 299E,Montgomery Creek,California,96065,,Fire Station,1996,11188.3,,0,32.9,0%,0,38174.6,,,"31385 Hwy 299E
Montgomery Creek, California 96065
"
CAL FIRE,California Department of Forestry and Fire Protection,3940047,CNR-SHU Shasta FS 2014 E P Complete,16064 Homestake Rd.,Redding,California,96033,,Fire Station,1992,48605.5,,131265.6,108.7,0%,0,297107.6,,,"16064 Homestake Rd.
Redding, California 96033
"
CAL FIRE,California Department of Forestry and Fire Protection,3940048,CNR-SHU Shingletown FS 2014 E P Complete,32249 Hwy 44,Shingletown,California,96008,,Fire Station,1966,30071.8,,121256,180.1,0%,0,223861.1,,,"32249 Hwy 44
Shingletown, California 96008
"
CAL FIRE,California Department of Forestry and Fire Protection,3940051,CNR-SHU Burney FS/RMO 2014 E P Complete,37966 Highway 299E,Johnson Park,California,96013,,Fire Station,1952,21804.2,,9890,54.3,0%,0,84286.1,,,"37966 Highway 299E
Johnson Park, California 96013
"
CAL FIRE,California Department of Forestry and Fire Protection,3940054,CNR-SHU Trinity River CC 2014 RBO-E/PP Complete Federal,P.O. Box 639,Lewiston,California,96052,,Fire Station,1992,,,,1795.1,,,,,,"P.O. Box 639
Lewiston, California 96052
"
CAL FIRE,California Department of Forestry and Fire Protection,3940056,CNR-SHU Hayfork FS 2014 E P Complete Private,5 One Wizard Way,Hayfork,California,96041,,Fire Station,1997,,,69312.8,51.5,,,,,,"5 One Wizard Way
Hayfork, California 96041
"
CAL FIRE,California Department of Forestry and Fire Protection,3940057,CNR-SHU Weaverville FS 2014 E P Complete,P.O. Box 1296,Weaverville,California,96093,,Fire Station,2009,,,254499.6,51.5,,,,,,"P.O. Box 1296
Weaverville, California 96093
"
CAL FIRE,California Department of Forestry and Fire Protection,3940058,CNR-SKU Pondosa FS - 2014 E P Complete ZZ,McCloud Post office,McCloud,California,96057,,Fire Station,1996,,,94208,51.5,,,,,,"McCloud Post office
McCloud, California 96057
"
CAL FIRE,California Department of Forestry and Fire Protection,3940098,CSR-BEU Bradley FS 2014 E MPP,"Old Hwy 101, P.O. Box 28",Bradley,California,93426,,Fire Station,1952,24075.6,,,94.4,0%,0,,,,"Old Hwy 101, P.O. Box 28
Bradley, California 93426
"
CAL FIRE,California Department of Forestry and Fire Protection,3940064,CNR-SKU Weed FS - 2014 E P Complete ZZ,"300 Hwy 97, P.O. Box 704",Weed,California,96094,,Fire Station,1966,,,424948,108.7,,,,,,"300 Hwy 97, P.O. Box 704
Weed, California 96094
"
CAL FIRE,California Department of Forestry and Fire Protection,3940065,CNR-SKU Siskiyou UH/FS/ECC - 2014 E P Complete ZZ,1809 Fair Lane,Yreka,California,96097,,Fire Station,2014,,,1008964,1033.1,,,,,,"1809 Fair Lane
Yreka, California 96097
"
CAL FIRE,California Department of Forestry and Fire Protection,3940071,CNR-TGU Paynes Creek FS - 2014 E P Complete ZZ,29721 Highway 36E,Paynes Creek,California,96075,,Fire Station,1899,,,108836,83.5,,,,,,"29721 Highway 36E
Paynes Creek, California 96075
"
CAL FIRE,California Department of Forestry and Fire Protection,3940076,CNR-TGU Vina HB - 2014 E P Complete,4520 Hwy 99E,Vina,California,96092,,Fire Station,1899,20180.4,,95744.4,80.6,0%,0,164600.1,,,"4520 Hwy 99E
Vina, California 96092
"
CAL FIRE,California Department of Forestry and Fire Protection,3940080,CSR-BDU Pilot Rock CC 2014 RBO-E Local govt,P.O. Box 3670,Crestline,California,92325,,Fire Station,1960,,,,1223.5,,,,,,"P.O. Box 3670
Crestline, California 92325
"
CAL FIRE,California Department of Forestry and Fire Protection,3940082,CSR-MMU CIW Training Center FTC 2014 MEE no energy meters CDCR,16756 Chino-Corna Rd,Frontera,California,91720,,Fire Station,1899,,,,5.8,,,,,,"16756 Chino-Corna Rd
Frontera, California 91720
"
CAL FIRE,California Department of Forestry and Fire Protection,3940089,CSR-BDU Lucerne Valley FS - 2014 E MPP ZZ,33679 Highway 247  ,Lucerne Valley,California,92356,,Fire Station,1965,31024,,,51.5,0%,0,,,,"33679 Highway 247
Lucerne Valley, California 92356
"
CAL FIRE,California Department of Forestry and Fire Protection,3940095,CSR-BEU Gabilan CC 2014 E N Partial RBO-E/PP Complete State-Other,Route 1,Soledad,California,93960,,Fire Station,2014,378205.6,40809.49762,,1655.9,0%,0,5371387.6,,,"Route 1
Soledad, California 93960
"
CAL FIRE,California Department of Forestry and Fire Protection,3940097,CSR-BEU Beaver Dam FS 2014 E MPP,5300 Hernandez-Coalinga Road,King City,California,95023,,Fire Station,1953,18115.4,,,51.5,0%,0,,,,"5300 Hernandez-Coalinga Road
King City, California 95023
"
CAL FIRE,California Department of Forestry and Fire Protection,3940103,CSR-BEU Lockwood FS 2014 E MPP,P.O. Box 182,Lockwood,California,93932,,Fire Station,1952,22311.4,,,51.5,0%,0,,,,"P.O. Box 182
Lockwood, California 93932
"
CAL FIRE,California Department of Forestry and Fire Protection,3940104,CSR-BEU Parkfield FS 2014 E MPP,Parkfield Route Box 3520,San Miguel,California,93451,,Fire Station,2014,10970.7,,,51.5,0%,0,,,,"Parkfield Route Box 3520
San Miguel, California 93451
"
CAL FIRE,California Department of Forestry and Fire Protection,3940108,CSR-FKU Fresno AAB 2014-base closed Feb 2012,2301 Airway Ave North,Fresno,California,93727,,Fire Station,1899,,,,680,,,,,,"2301 Airway Ave North
Fresno, California 93727
"
CAL FIRE,California Department of Forestry and Fire Protection,3940110,CSR-FKU Blasingame FS 2014 E MPP Private,23087 E Tollhouse Road,Tollhouse,California,93612,,Fire Station,1995,44674.8,,,94.4,0%,0,,,,"23087 E Tollhouse Road
Tollhouse, California 93612
"
CAL FIRE,California Department of Forestry and Fire Protection,3940111,CSR-FKU Coalinga FS 2014 E MPP Local govt,"25600 W, Jayne",Coalinga,California,93210,,Fire Station,2000,65389.5,,,51.5,0%,0,,,,"25600 W, Jayne
Coalinga, California 93210
"
CAL FIRE,California Department of Forestry and Fire Protection,3940120,CSR-MMU Ahwahnee FS 2014 E Complete,43033 Hwy 49 S; P.O. Box 67,Ahwahnee,California,93601,,Fire Station,2009,51169.5,,,83.5,0%,0,174590.3,,,"43033 Hwy 49 S; P.O. Box 67
Ahwahnee, California 93601
"
CAL FIRE,California Department of Forestry and Fire Protection,3940123,CSR-MMU Catheys Valley FS 2014 E MPP,2203 Hwy 140 ,Catheys Valley,California,95306,,Fire Station,1966,14143.4,,,32,0%,0,,,,"2203 Hwy 140
Catheys Valley, California 95306
"
CAL FIRE,California Department of Forestry and Fire Protection,3940124,CSR-MMU Coarsegold FS 2014 E MPP,"34555 Hwy 41, P.O. Box 221",Coarsegold,California,93693,,Fire Station,1970,35976.2,,,63.4,0%,0,,,,"34555 Hwy 41, P.O. Box 221
Coarsegold, California 93693
"
CAL FIRE,California Department of Forestry and Fire Protection,3940125,CSR-MMU Coulterville FS 2014 E MPP,10508 Hwy 49N,Coulterville,California,95311,,Fire Station,1970,30878.4,,,90.6,0%,0,,,,"10508 Hwy 49N
Coulterville, California 95311
"
CAL FIRE,California Department of Forestry and Fire Protection,3940128,CSR-MMU Rancheria FS 2014 E MPP,"53488 Road 200, O'Neals Post Office",O Neals,California,93645,,Fire Station,2007,47252.2,,,94.4,0%,0,,,,"53488 Road 200, O'Neals Post Office
O Neals, California 93645
"
CAL FIRE,California Department of Forestry and Fire Protection,3940130,CSR-MMU Usona FS 2014 E MPP,2629 Hwy 49S,Mariposa,California,95338,,Fire Station,2009,35660.2,,,32,0%,0,,,,"2629 Hwy 49S
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940131,CSR-MMU MaderaMariposaMercedHQ-FS/ECC/PRVNT/TRN/FLT/6 2014 E,5366 Highway 49 North,Mariposa,California,95338,,Fire Station,1940,11182.6,,,108.7,0%,0,38155.1,,,"5366 Highway 49 North
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940132,CSR-MMU Madera-Mariposa-Mrcd HQ-FS/ECC/PRVNT/TRN/FLT/7 2014 E Complete,5367 Highway 49 North,Mariposa,California,95338,,Fire Station,1899,8593,,,108.7,0%,0,29319.3,,,"5367 Highway 49 North
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940133,CSR-MMU Madera-Mariposa-Merced HQ-FS/ECC/PRVNT/TRN/FLEET/8 2014 E Complete,5368 Highway 49 North,Mariposa,California,95338,,Fire Station,1899,259669,,,108.7,0%,0,885990.9,,,"5368 Highway 49 North
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940134,CSR-MMU Madera-Mariposa-Merced HQ-FS/ECC/PRVNT/TRN/FLT/9 2014 E Complete,5369 Highway 49 North,Mariposa,California,95338,,Fire Station,1899,2893.5,,,108.7,0%,0,9872.6,,,"5369 Highway 49 North
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940135,CSR-MMU Mnt Bullion Camp0 CC 2014 E Complete CDF,5730 Mt. Bullion Access Rd ,Mariposa,California,95338,,Fire Station,1956,4393.1,,,1580.8,0%,0,14989.2,,,"5730 Mt. Bullion Access Rd
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940136,CSR-MMU Mnt Bullion Camp1 CC 2014 E Complete CDF,"5731 Mt. Bullion Access Rd, P.O. Box 5006",Mariposa,California,95338,,Fire Station,1899,2971.1,,,1580.8,0%,0,10137.3,,,"5731 Mt. Bullion Access Rd, P.O. Box 5006
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940137,CSR-MMU Mnt Bullion Camp2 CC 2014 E Complete CDF,"5732 Mt. Bullion Access Rd, P.O. Box 5006",Mariposa,California,95338,,Fire Station,1899,6456.1,,,1580.8,0%,0,22028.1,,,"5732 Mt. Bullion Access Rd, P.O. Box 5006
Mariposa, California 95338
"
CAL FIRE,California Department of Forestry and Fire Protection,3940138,CSR-MVU Rainbow CC 2014 MEE no energy meters CDF,8215 Rainbow Heights Rd; Fallbrook,Fallbrook,California,92028,,Fire Station,1998,,,,1080.5,,,,,,"8215 Rainbow Heights Rd; Fallbrook
Fallbrook, California 92028
"
CAL FIRE,California Department of Forestry and Fire Protection,3940150,CSR-MVU Julian FS 2014 E MPP,"1587 Hwy 78, Borrego Star Route",Julian,California,92036,,Fire Station,1899,26725.6,,,32,0%,0,,,,"1587 Hwy 78, Borrego Star Route
Julian, California 92036
"
CAL FIRE,California Department of Forestry and Fire Protection,3940154,CSR-MVU Potrero FS 2014 E MPP,"25130 Hwy 94, P.O. Box 92",Potrero,California,91963,,Fire Station,2014,21397.5,,,58.6,0%,0,,,,"25130 Hwy 94, P.O. Box 92
Potrero, California 91963
"
CAL FIRE,California Department of Forestry and Fire Protection,3940162,CSR-MVU Witch Creek FS 2014 E Complete,"27330 Hwy 78, Star Route Box 660",Ramona,California,92065,,Fire Station,1957,15457.6,,,65.8,0%,0,52741.4,,,"27330 Hwy 78, Star Route Box 660
Ramona, California 92065
"
CAL FIRE,California Department of Forestry and Fire Protection,3940171,CSR-RRU Anza FS 2014 E MPP,P.O. Box 391489,Anza,California,92539,,Fire Station,1971,55194,,,80.1,0%,0,,,,"P.O. Box 391489
Anza, California 92539
"
CAL FIRE,California Department of Forestry and Fire Protection,3940183,CSR-SLU Cuesta CC 2014 E MPP State-Other,San Joaquin Building 962,San Luis Obispo,California,93401,,Fire Station,2014,13999,,,8.6,0%,0,,,,"San Joaquin Building 962
San Luis Obispo, California 93401
"
CAL FIRE,California Department of Forestry and Fire Protection,3940184,CSR-SLU Cambria FS 2014 E MPP,6126 Coverty Lane,Cambria,California,93428,,Fire Station,1899,18051.8,,,44.4,0%,0,,,,"6126 Coverty Lane
Cambria, California 93428
"
CAL FIRE,California Department of Forestry and Fire Protection,3940185,CSR-SLU Cayucos FS 2014 E MPP,Hwy 1 at Chaney,Cayucos,California,93430,,Fire Station,2014,16339.5,,,39.8,0%,0,,,,"Hwy 1 at Chaney
Cayucos, California 93430
"
CAL FIRE,California Department of Forestry and Fire Protection,3940186,CSR-SLU La Panza FS 2014 E MPP,"5398 Pozo Rd, Star Route, Box 75A",Santa Margarita,California,93453,,Fire Station,1952,11256.1,,,32,0%,0,,,,"5398 Pozo Rd, Star Route, Box 75A
Santa Margarita, California 93453
"
CAL FIRE,California Department of Forestry and Fire Protection,3940196,CSR-TCU Baseline CC 2014 E - Federal,16009 New Peoria Rd,Jamestown,California,95327,,Fire Station,1989,11131.6,,,8.6,0%,0,37981.1,,,"16009 New Peoria Rd
Jamestown, California 95327
"
CAL FIRE,California Department of Forestry and Fire Protection,3940198,CSR-TCU Altaville FS 2014 E Complete,P.O. Box 182,Altaville,California,95221,,Fire Station,2012,60145.4,,,46.1,0%,0,205216.1,,,"P.O. Box 182
Altaville, California 95221
"
CAL FIRE,California Department of Forestry and Fire Protection,3940199,CSR-TCU Arnold FS 2014 E MPP,P.O. Box 166,Arnold,California,95223,,Fire Station,1965,44469.3,,,62.9,0%,0,,,,"P.O. Box 166
Arnold, California 95223
"
CAL FIRE,California Department of Forestry and Fire Protection,3940200,CSR-TCU Blanchard FS 2014 E MPP,2990 Hwy 132,La Grange,California,95329,,Fire Station,1981,972.7,,,51.5,0%,0,,,,"2990 Hwy 132
La Grange, California 95329
"
CAL FIRE,California Department of Forestry and Fire Protection,3940201,CSR-TCU Copperopolis FS 2014 E MPP,P.O. Box 223,Copperopolis,California,95228,,Fire Station,1968,23479.1,,,32,0%,0,,,,"P.O. Box 223
Copperopolis, California 95228
"
CAL FIRE,California Department of Forestry and Fire Protection,3940202,CSR-TCU Esperanza FS 2014 E MPP,Star Route,Mountain Ranch,California,95246,,Fire Station,1950,26976.2,,,34.3,0%,0,,,,"Star Route
Mountain Ranch, California 95246
"
CAL FIRE,California Department of Forestry and Fire Protection,3940204,CSR-TCU Groveland FS 2014 E MPP,P.O. Box 2,Groveland,California,95321,,Fire Station,1963,18475.3,,,51.5,0%,0,,,,"P.O. Box 2
Groveland, California 95321
"
CAL FIRE,California Department of Forestry and Fire Protection,3940205,CSR-TCU Hermit Springs FS 2014 Generator MPP,P.O. Box 343,West Point,California,95255,,Fire Station,1960,,,,34.3,,,,,,"P.O. Box 343
West Point, California 95255
"
CAL FIRE,California Department of Forestry and Fire Protection,3940207,CSR-TCU SKUll Creek FS 2014 Generator Solar MPP Private,P.O. Box 166,Arnold,California,95223,,Fire Station,1986,,,,34.3,,,,,,"P.O. Box 166
Arnold, California 95223
"
